peak_bin_dt,direction,employees,theoretical_buses
2026-04-06 21:00:00,IN,19,1
2026-04-06 21:00:00,OUT,4,1
2026-04-06 22:00:00,IN,2,1
2026-04-06 22:00:00,OUT,2,1
2026-04-06 23:00:00,OUT,35,2
2026-04-07 00:00:00,IN,7,1
2026-04-07 00:00:00,OUT,15,1
2026-04-07 01:00:00,OUT,28,2
2026-04-07 02:00:00,OUT,4,1
2026-04-07 03:00:00,OUT,112,6
2026-04-07 04:00:00,IN,2,1
2026-04-07 04:00:00,OUT,10,1
2026-04-07 05:00:00,OUT,153,7
2026-04-07 06:00:00,IN,13,1
2026-04-07 06:00:00,OUT,25,2
2026-04-07 08:00:00,IN,7,1
2026-04-07 08:00:00,OUT,1,1
2026-04-07 09:00:00,IN,95,5
2026-04-07 09:00:00,OUT,7,1
2026-04-07 10:00:00,IN,21,1
2026-04-07 10:00:00,OUT,2,1
2026-04-07 11:00:00,IN,88,4
2026-04-07 12:00:00,IN,10,1
2026-04-07 12:00:00,OUT,2,1
2026-04-07 13:00:00,IN,3,1
2026-04-07 14:00:00,IN,15,1
2026-04-07 15:00:00,OUT,1,1
2026-04-07 16:00:00,IN,24,2
2026-04-07 16:00:00,OUT,28,2
2026-04-07 17:00:00,IN,10,1
2026-04-07 17:00:00,OUT,4,1
2026-04-07 18:00:00,IN,102,5
2026-04-07 18:00:00,OUT,85,4
2026-04-07 19:00:00,IN,12,1
2026-04-07 19:00:00,OUT,11,1
2026-04-07 20:00:00,IN,173,8
2026-04-07 20:00:00,OUT,69,4
2026-04-07 21:00:00,IN,13,1
2026-04-07 21:00:00,OUT,3,1
2026-04-07 22:00:00,IN,2,1
2026-04-07 22:00:00,OUT,2,1
2026-04-07 23:00:00,OUT,27,2
2026-04-08 00:00:00,IN,6,1
2026-04-08 00:00:00,OUT,17,1
2026-04-08 01:00:00,OUT,33,2
2026-04-08 02:00:00,OUT,4,1
2026-04-08 03:00:00,OUT,115,6
2026-04-08 04:00:00,IN,2,1
2026-04-08 04:00:00,OUT,9,1
2026-04-08 05:00:00,OUT,157,8
2026-04-08 06:00:00,IN,13,1
2026-04-08 06:00:00,OUT,19,1
2026-04-08 08:00:00,IN,6,1
2026-04-08 08:00:00,OUT,1,1
2026-04-08 09:00:00,IN,104,5
2026-04-08 09:00:00,OUT,6,1
2026-04-08 10:00:00,IN,20,1
2026-04-08 10:00:00,OUT,2,1
2026-04-08 11:00:00,IN,93,5
2026-04-08 12:00:00,IN,9,1
2026-04-08 12:00:00,OUT,2,1
2026-04-08 13:00:00,IN,4,1
2026-04-08 14:00:00,IN,15,1
2026-04-08 15:00:00,OUT,1,1
2026-04-08 16:00:00,IN,26,2
2026-04-08 16:00:00,OUT,31,2
2026-04-08 17:00:00,IN,10,1
2026-04-08 17:00:00,OUT,3,1
2026-04-08 18:00:00,IN,97,5
2026-04-08 18:00:00,OUT,88,4
2026-04-08 19:00:00,IN,12,1
2026-04-08 19:00:00,OUT,11,1
2026-04-08 20:00:00,IN,177,9
2026-04-08 20:00:00,OUT,77,4
2026-04-08 21:00:00,IN,22,1
2026-04-08 21:00:00,OUT,3,1
2026-04-08 22:00:00,IN,1,1
2026-04-08 22:00:00,OUT,3,1
2026-04-08 23:00:00,OUT,30,2
2026-04-09 00:00:00,IN,9,1
2026-04-09 00:00:00,OUT,16,1
2026-04-09 01:00:00,OUT,34,2
2026-04-09 02:00:00,OUT,4,1
2026-04-09 03:00:00,OUT,110,5
2026-04-09 04:00:00,IN,2,1
2026-04-09 04:00:00,OUT,9,1
2026-04-09 05:00:00,OUT,159,8
2026-04-09 06:00:00,IN,13,1
2026-04-09 06:00:00,OUT,27,2
2026-04-09 08:00:00,IN,6,1
2026-04-09 08:00:00,OUT,1,1
2026-04-09 09:00:00,IN,102,5
2026-04-09 09:00:00,OUT,10,1
2026-04-09 10:00:00,IN,20,1
2026-04-09 10:00:00,OUT,1,1
2026-04-09 11:00:00,IN,93,5
2026-04-09 12:00:00,IN,7,1
2026-04-09 12:00:00,OUT,2,1
2026-04-09 13:00:00,IN,3,1
2026-04-09 14:00:00,IN,19,1
2026-04-09 15:00:00,OUT,1,1
2026-04-09 16:00:00,IN,27,2
2026-04-09 16:00:00,OUT,30,2
2026-04-09 17:00:00,IN,10,1
2026-04-09 17:00:00,OUT,3,1
2026-04-09 18:00:00,IN,115,6
2026-04-09 18:00:00,OUT,91,5
2026-04-09 19:00:00,IN,12,1
2026-04-09 19:00:00,OUT,11,1
2026-04-09 20:00:00,IN,185,9
2026-04-09 20:00:00,OUT,71,4
2026-04-09 21:00:00,IN,21,1
2026-04-09 21:00:00,OUT,4,1
2026-04-09 22:00:00,IN,1,1
2026-04-09 22:00:00,OUT,2,1
2026-04-09 23:00:00,OUT,32,2
2026-04-10 00:00:00,IN,8,1
2026-04-10 00:00:00,OUT,14,1
2026-04-10 01:00:00,OUT,39,2
2026-04-10 02:00:00,OUT,4,1
2026-04-10 03:00:00,OUT,128,6
2026-04-10 04:00:00,IN,2,1
2026-04-10 04:00:00,OUT,9,1
2026-04-10 05:00:00,OUT,167,8
2026-04-10 06:00:00,IN,13,1
2026-04-10 06:00:00,OUT,26,2
2026-04-10 08:00:00,IN,6,1
2026-04-10 08:00:00,OUT,1,1
2026-04-10 09:00:00,IN,97,5
2026-04-10 09:00:00,OUT,7,1
2026-04-10 10:00:00,IN,17,1
2026-04-10 10:00:00,OUT,1,1
2026-04-10 11:00:00,IN,94,5
2026-04-10 12:00:00,IN,8,1
2026-04-10 12:00:00,OUT,2,1
2026-04-10 13:00:00,IN,4,1
2026-04-10 14:00:00,IN,17,1
2026-04-10 15:00:00,OUT,1,1
2026-04-10 16:00:00,IN,29,2
2026-04-10 16:00:00,OUT,27,2
2026-04-10 17:00:00,IN,10,1
2026-04-10 17:00:00,OUT,4,1
2026-04-10 18:00:00,IN,117,6
2026-04-10 18:00:00,OUT,81,4
2026-04-10 19:00:00,IN,12,1
2026-04-10 19:00:00,OUT,11,1
2026-04-10 20:00:00,IN,179,9
2026-04-10 20:00:00,OUT,76,4
2026-04-10 21:00:00,IN,22,1
2026-04-10 21:00:00,OUT,4,1
2026-04-10 22:00:00,IN,1,1
2026-04-10 22:00:00,OUT,2,1
2026-04-10 23:00:00,OUT,30,2
2026-04-11 00:00:00,IN,7,1
2026-04-11 00:00:00,OUT,13,1
2026-04-11 01:00:00,OUT,38,2
2026-04-11 02:00:00,OUT,4,1
2026-04-11 03:00:00,OUT,131,6
2026-04-11 04:00:00,IN,2,1
2026-04-11 04:00:00,OUT,9,1
2026-04-11 05:00:00,OUT,165,8
2026-04-11 06:00:00,IN,15,1
2026-04-11 06:00:00,OUT,27,2
2026-04-11 08:00:00,IN,10,1
2026-04-11 08:00:00,OUT,1,1
2026-04-11 09:00:00,IN,101,5
2026-04-11 09:00:00,OUT,10,1
2026-04-11 10:00:00,IN,19,1
2026-04-11 11:00:00,IN,89,5
2026-04-11 12:00:00,IN,8,1
2026-04-11 12:00:00,OUT,2,1
2026-04-11 13:00:00,IN,4,1
2026-04-11 14:00:00,IN,16,1
2026-04-11 15:00:00,OUT,1,1
2026-04-11 16:00:00,IN,28,2
2026-04-11 16:00:00,OUT,32,2
2026-04-11 17:00:00,IN,10,1
2026-04-11 17:00:00,OUT,8,1
2026-04-11 18:00:00,IN,109,5
2026-04-11 18:00:00,OUT,84,4
2026-04-11 19:00:00,IN,12,1
2026-04-11 19:00:00,OUT,11,1
2026-04-11 20:00:00,IN,169,8
2026-04-11 20:00:00,OUT,74,4
2026-04-11 21:00:00,IN,14,1
2026-04-11 21:00:00,OUT,4,1
2026-04-11 22:00:00,IN,1,1
2026-04-11 22:00:00,OUT,2,1
2026-04-11 23:00:00,OUT,28,2
2026-04-12 00:00:00,OUT,14,1
2026-04-12 01:00:00,OUT,38,2
2026-04-12 02:00:00,OUT,4,1
2026-04-12 03:00:00,OUT,122,6
2026-04-12 04:00:00,OUT,9,1
2026-04-12 05:00:00,OUT,153,7
2026-04-12 06:00:00,OUT,18,1
2026-04-12 08:00:00,OUT,1,1
2026-04-12 09:00:00,OUT,3,1
2026-04-12 17:00:00,OUT,3,1
2026-04-12 19:00:00,OUT,1,1
