store_name,store_name_norm,window_type,window_time,demand
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,OUT,06:00 PM,6
Hardees - Fahd El Ahmed,hardees - fahd el ahmed,OUT,08:00 PM,6
Hardees - Khairan,hardees - khairan,IN,06:00 PM,6
Hardees - Khairan,hardees - khairan,IN,08:00 PM,18
Hardees - Khairan,hardees - khairan,IN,09:00 AM,6
Hardees - Khairan,hardees - khairan,IN,09:00 PM,6
Hardees - Khairan,hardees - khairan,IN,11:00 AM,12
Hardees - Khairan,hardees - khairan,OUT,03:00 AM,6
Hardees - Khairan,hardees - khairan,OUT,05:00 AM,18
Hardees - Khairan,hardees - khairan,OUT,06:00 AM,6
Hardees - Khairan,hardees - khairan,OUT,06:00 PM,6
Hardees - Khairan,hardees - khairan,OUT,08:00 PM,12
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,IN,01:00 PM,2
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,IN,06:00 PM,8
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,IN,08:00 PM,2
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,IN,09:00 AM,14
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,IN,11:00 AM,4
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,03:00 AM,8
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,05:00 AM,2
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,06:00 PM,12
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,08:00 PM,4
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,10:00 PM,2
Hardees - Khiran Hybrid Outlet,hardees - khiran hybrid outlet,OUT,11:00 PM,2
Hardees - Om El Himan,hardees - om el himan,IN,06:00 PM,11
Hardees - Om El Himan,hardees - om el himan,IN,08:00 PM,40
Hardees - Om El Himan,hardees - om el himan,IN,09:00 AM,14
Hardees - Om El Himan,hardees - om el himan,IN,11:00 AM,7
Hardees - Om El Himan,hardees - om el himan,OUT,03:00 AM,11
Hardees - Om El Himan,hardees - om el himan,OUT,05:00 AM,23
Hardees - Om El Himan,hardees - om el himan,OUT,05:00 PM,17
Hardees - Om El Himan,hardees - om el himan,OUT,06:00 PM,14
Hardees - Om El Himan,hardees - om el himan,OUT,08:00 PM,7
Hardees - Qurain Markets,hardees - qurain markets,IN,06:00 PM,2
Hardees - Qurain Markets,hardees - qurain markets,IN,08:00 PM,13
Hardees - Qurain Markets,hardees - qurain markets,IN,09:00 AM,5
Hardees - Qurain Markets,hardees - qurain markets,IN,09:00 PM,10
Hardees - Qurain Markets,hardees - qurain markets,IN,11:00 AM,6
Hardees - Qurain Markets,hardees - qurain markets,IN, ,48
Hardees - Qurain Markets,hardees - qurain markets,OUT,03:00 AM,2
Hardees - Qurain Markets,hardees - qurain markets,OUT,05:00 AM,13
Hardees - Qurain Markets,hardees - qurain markets,OUT,06:00 AM,10
Hardees - Qurain Markets,hardees - qurain markets,OUT,08:00 PM,11
Hardees - Qurain Markets,hardees - qurain markets,OUT, ,48
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,06:00 PM,24
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,08:00 PM,30
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,09:00 AM,30
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,09:00 PM,5
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,11:00 AM,18
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,IN,12:00 AM,24
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,03:00 AM,24
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,05:00 AM,29
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,06:00 AM,5
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,06:00 PM,30
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,08:00 PM,18
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,09:00 AM,24
Hardees - Sabah Al Ahmed,hardees - sabah al ahmed,OUT,5AM,1
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,04:00 PM,12
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,06:00 PM,18
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,08:00 PM,44
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,09:00 AM,9
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,10:00 AM,26
Hardees - Sabah Al Salem,hardees - sabah al salem,IN,11:00 AM,1
Hardees - Sabah Al Salem,hardees - sabah al salem,IN, ,9
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT,01:00 AM,38
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT,03:00 AM,18
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT,04:00 PM,26
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT,05:00 AM,18
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT,08:00 PM,10
Hardees - Sabah Al Salem,hardees - sabah al salem,OUT, ,9
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,04:00 PM,2
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,06:00 PM,10
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,08:00 PM,12
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,09:00 AM,8
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,09:00 PM,10
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN,11:00 AM,4
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,IN, ,13
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,01:00 AM,5
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,03:00 AM,10
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,04:00 PM,3
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,05:00 AM,12
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,06:00 AM,7
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,06:00 PM,8
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT,08:00 PM,1
Hardees - Sabah Al Salem Block,hardees - sabah al salem block,OUT, ,13
Hardees - Village,hardees - village,IN,06:00 PM,2
Hardees - Village,hardees - village,IN,08:00 PM,25
Hardees - Village,hardees - village,IN,09:00 AM,12
Hardees - Village,hardees - village,IN,09:00 PM,24
Hardees - Village,hardees - village,IN,11:00 AM,10
Hardees - Village,hardees - village,IN, ,95
Hardees - Village,hardees - village,OUT,03:00 AM,2
Hardees - Village,hardees - village,OUT,05:00 AM,25
Hardees - Village,hardees - village,OUT,06:00 AM,24
Hardees - Village,hardees - village,OUT,06:00 PM,6
Hardees - Village,hardees - village,OUT,08:00 PM,16
Hardees - Village,hardees - village,OUT, ,95
KFC - Abo Helifa,kfc - abo helifa,IN,06:00 PM,28
KFC - Abo Helifa,kfc - abo helifa,IN,08:00 PM,7
KFC - Abo Helifa,kfc - abo helifa,IN,09:00 AM,14
KFC - Abo Helifa,kfc - abo helifa,IN,11:00 AM,14
KFC - Abo Helifa,kfc - abo helifa,OUT,03:00 AM,28
KFC - Abo Helifa,kfc - abo helifa,OUT,04:00 PM,7
KFC - Abo Helifa,kfc - abo helifa,OUT,06:00 PM,14
KFC - Abo Helifa,kfc - abo helifa,OUT,08:00 PM,7
KFC - Abo Helifa,kfc - abo helifa,OUT,12:00 AM,7
KFC - Adan,kfc - adan,IN,02:00 PM,7
KFC - Adan,kfc - adan,IN,06:00 PM,14
KFC - Adan,kfc - adan,IN,08:00 PM,35
KFC - Adan,kfc - adan,IN,09:00 AM,21
KFC - Adan,kfc - adan,IN,11:00 AM,21
KFC - Adan,kfc - adan,OUT,03:00 AM,14
KFC - Adan,kfc - adan,OUT,05:00 AM,35
KFC - Adan,kfc - adan,OUT,06:00 PM,21
KFC - Adan,kfc - adan,OUT,08:00 PM,21
KFC - Adan,kfc - adan,OUT,11:00 PM,7
KFC - Al Ahmadi,kfc - al ahmadi,IN,06:00 PM,14
KFC - Al Ahmadi,kfc - al ahmadi,IN,08:00 PM,28
KFC - Al Ahmadi,kfc - al ahmadi,IN,09:00 AM,14
KFC - Al Ahmadi,kfc - al ahmadi,IN,11:00 AM,21
KFC - Al Ahmadi,kfc - al ahmadi,OUT,03:00 AM,14
KFC - Al Ahmadi,kfc - al ahmadi,OUT,05:00 AM,28
KFC - Al Ahmadi,kfc - al ahmadi,OUT,06:00 PM,14
KFC - Al Ahmadi,kfc - al ahmadi,OUT,08:00 PM,21
KFC - Al Bairak Mall,kfc - al bairak mall,IN,09:00 AM,7
KFC - Al Bairak Mall,kfc - al bairak mall,IN,12:00 PM,28
KFC - Al Bairak Mall,kfc - al bairak mall,OUT,06:00 PM,7
KFC - Al Bairak Mall,kfc - al bairak mall,OUT,12:00 AM,28
KFC - Al Kout Mall,kfc - al kout mall,IN,04:00 PM,21
KFC - Al Kout Mall,kfc - al kout mall,IN,09:00 AM,14
KFC - Al Kout Mall,kfc - al kout mall,OUT,01:00 AM,21
KFC - Al Kout Mall,kfc - al kout mall,OUT,06:00 PM,14
KFC - Al Mahboola,kfc - al mahboola,IN,06:00 PM,21
KFC - Al Mahboola,kfc - al mahboola,IN,08:00 PM,28
KFC - Al Mahboola,kfc - al mahboola,IN,09:00 AM,7
KFC - Al Mahboola,kfc - al mahboola,IN,11:00 AM,28
KFC - Al Mahboola,kfc - al mahboola,OUT,03:00 AM,21
KFC - Al Mahboola,kfc - al mahboola,OUT,05:00 AM,28
KFC - Al Mahboola,kfc - al mahboola,OUT,06:00 PM,7
KFC - Al Mahboola,kfc - al mahboola,OUT,08:00 PM,28
KFC - Al Mangaf,kfc - al mangaf,IN,06:00 PM,14
KFC - Al Mangaf,kfc - al mangaf,IN,08:00 PM,7
KFC - Al Mangaf,kfc - al mangaf,IN,09:00 AM,14
KFC - Al Mangaf,kfc - al mangaf,IN,09:00 PM,14
KFC - Al Mangaf,kfc - al mangaf,IN,10:00 AM,7
KFC - Al Mangaf,kfc - al mangaf,IN,11:00 AM,14
KFC - Al Mangaf,kfc - al mangaf,OUT,03:00 AM,14
KFC - Al Mangaf,kfc - al mangaf,OUT,05:00 AM,7
KFC - Al Mangaf,kfc - al mangaf,OUT,06:00 AM,14
KFC - Al Mangaf,kfc - al mangaf,OUT,06:00 PM,14
KFC - Al Mangaf,kfc - al mangaf,OUT,07:00 PM,7
KFC - Al Mangaf,kfc - al mangaf,OUT,08:00 PM,14
KFC - Al Zahr,kfc - al zahr,IN,02:00 PM,7
KFC - Al Zahr,kfc - al zahr,IN,06:00 PM,42
KFC - Al Zahr,kfc - al zahr,IN,08:00 PM,28
KFC - Al Zahr,kfc - al zahr,IN,09:00 AM,21
KFC - Al Zahr,kfc - al zahr,IN,11:00 AM,7
KFC - Al Zahr,kfc - al zahr,OUT,03:00 AM,42
KFC - Al Zahr,kfc - al zahr,OUT,05:00 AM,28
KFC - Al Zahr,kfc - al zahr,OUT,06:00 AM,21
KFC - Al Zahr,kfc - al zahr,OUT,08:00 AM,7
KFC - Al Zahr,kfc - al zahr,OUT,11:00 PM,7
KFC - Alreqa,kfc - alreqa,IN,04:00 PM,14
KFC - Alreqa,kfc - alreqa,IN,05:00 PM,42
KFC - Alreqa,kfc - alreqa,IN,07:00 PM,49
KFC - Alreqa,kfc - alreqa,IN,09:00 AM,21
KFC - Alreqa,kfc - alreqa,IN,11:00 AM,21
KFC - Alreqa,kfc - alreqa,OUT,03:00 AM,42
KFC - Alreqa,kfc - alreqa,OUT,04:00 AM,14
KFC - Alreqa,kfc - alreqa,OUT,05:00 AM,49
KFC - Alreqa,kfc - alreqa,OUT,07:00 PM,21
KFC - Alreqa,kfc - alreqa,OUT,09:00 PM,21
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,IN,08:00 PM,56
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,IN,09:00 AM,14
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,IN,11:00 AM,21
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,OUT,05:00 AM,56
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,OUT,06:00 PM,14
KFC - Aswaq Al Qurain,kfc - aswaq al qurain,OUT,08:00 PM,21
KFC - Augiela 2,kfc - augiela 2,IN,04:00 PM,7
KFC - Augiela 2,kfc - augiela 2,IN,06:00 PM,7
KFC - Augiela 2,kfc - augiela 2,IN,08:00 PM,35
KFC - Augiela 2,kfc - augiela 2,IN,09:00 AM,21
KFC - Augiela 2,kfc - augiela 2,IN,11:00 AM,7
KFC - Augiela 2,kfc - augiela 2,OUT,01:00 AM,7
KFC - Augiela 2,kfc - augiela 2,OUT,03:00 AM,7
KFC - Augiela 2,kfc - augiela 2,OUT,05:00 AM,35
KFC - Augiela 2,kfc - augiela 2,OUT,06:00 PM,21
KFC - Augiela 2,kfc - augiela 2,OUT,08:00 PM,7
KFC - Fahaheel,kfc - fahaheel,IN,06:00 PM,21
KFC - Fahaheel,kfc - fahaheel,IN,08:00 PM,35
KFC - Fahaheel,kfc - fahaheel,IN,09:00 AM,21
KFC - Fahaheel,kfc - fahaheel,IN,11:00 AM,14
KFC - Fahaheel,kfc - fahaheel,OUT,03:00 AM,21
KFC - Fahaheel,kfc - fahaheel,OUT,05:00 AM,35
KFC - Fahaheel,kfc - fahaheel,OUT,06:00 PM,21
KFC - Fahaheel,kfc - fahaheel,OUT,08:00 PM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,IN,04:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,IN,06:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,IN,08:00 AM,42
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,IN,09:00 AM,21
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,IN,11:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,01:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,03:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,04:00 AM,14
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,05:00 AM,28
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,06:00 AM,21
KFC - Fahd Al Ahmad,kfc - fahd al ahmad,OUT,12:00 PM,14
KFC - Khiran Outlet,kfc - khiran outlet,IN,05:00 PM,28
KFC - Khiran Outlet,kfc - khiran outlet,IN,09:00 AM,7
KFC - Khiran Outlet,kfc - khiran outlet,IN,10:00 AM,14
KFC - Khiran Outlet,kfc - khiran outlet,OUT,02:00 AM,28
KFC - Khiran Outlet,kfc - khiran outlet,OUT,06:00 PM,7
KFC - Khiran Outlet,kfc - khiran outlet,OUT,07:00 PM,14
KFC - Loft Fintas,kfc - loft fintas,IN,06:00 PM,35
KFC - Loft Fintas,kfc - loft fintas,IN,08:00 PM,28
KFC - Loft Fintas,kfc - loft fintas,IN,09:00 AM,7
KFC - Loft Fintas,kfc - loft fintas,IN,11:00 AM,21
KFC - Loft Fintas,kfc - loft fintas,OUT,03:00 AM,35
KFC - Loft Fintas,kfc - loft fintas,OUT,05:00 AM,28
KFC - Loft Fintas,kfc - loft fintas,OUT,06:00 PM,7
KFC - Loft Fintas,kfc - loft fintas,OUT,08:00 PM,21
KFC - Mangaf 2,kfc - mangaf 2,IN,04:00 PM,7
KFC - Mangaf 2,kfc - mangaf 2,IN,06:00 PM,35
KFC - Mangaf 2,kfc - mangaf 2,IN,08:00 PM,28
KFC - Mangaf 2,kfc - mangaf 2,IN,09:00 AM,7
KFC - Mangaf 2,kfc - mangaf 2,IN,11:00 AM,7
